"id","inventario_stock","suap_stock","data_inventario","data_suap","current_stock","current_suap_stock","created_at","updated_at","deleted_at","asset_id","team_id"
"1","18","18","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"1","1"
"2","195","195","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"2","1"
"3","26","26","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"3","1"
"4","17","17","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"4","1"
"5","17","17","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"5","1"
"6","17","17","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"6","1"
"7","33","33","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"7","1"
"8","36","36","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"8","1"
"9","17","17","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"9","1"
"10","9","9","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"10","1"
"11","3","3","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"11","1"
"12","90","90","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"12","1"
"13","44","44","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"13","1"
"14","19","19","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"14","1"
"15","33","33","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"15","1"
"16","8","8","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"16","1"
"17","1","1","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"17","1"
"18","1","1","2021-11-08 03:00:00","2021-11-08 03:00:00","0","0","2022-03-01 06:11:13","2022-03-01 06:11:13",NULL,"18","1"
